,time,fwd,trn,oL,oR
1456764798,22.96000004,167,124.3209494,301,314
1456764798,23.01999998,167,124.3209494,302,315
1456764798,23.07999992,167,124.3028673,303,316
1456764798,23.13999987,167,124.3028673,304,317
1456764798,23.20000005,167,124.2937344,305,318
1456764798,23.25999999,167,124.2752819,306,319
1456764798,23.31999993,167,124.265961,307,320
1456764798,23.37999988,167,124.265961,308,321
1456764798,23.44000006,167,124.2471266,309,322
1456764798,23.5,167,124.2376119,310,323
1456764799,23.55999994,167,124.2376119,311,324
1456764799,23.61999989,167,124.2280311,312,325
1456764799,23.68000007,167,124.2086689,313,326
1456764799,23.74000001,167,124.2086689,314,327
1456764799,23.79999995,167,124.1988861,315,328
1456764799,23.8599999,167,124.1890344,316,329
1456764799,23.92000008,167,124.1791133,316,329
1456764799,23.98000002,167,124.1590595,318,331
1456764799,24.03999996,167,124.1489253,319,332
1456764799,24.0999999,167,124.1489253,320,333
1456764799,24.16000009,167,124.1284386,320,333
1456764799,24.22000003,167,124.1284386,322,335
1456764799,24.27999997,167,124.1180845,323,336
1456764799,24.33999991,167,124.1076555,324,337
1456764799,24.4000001,167,124.0971508,325,338
1456764799,24.46000004,167,124.0759108,326,339
1456764800,24.51999998,167,124.0759108,326,339
1456764800,24.58999991,167,124.0543579,327,340
1456764800,24.63999987,167,124.0543579,328,341
1456764800,24.70000005,167,124.032485,329,342
1456764800,24.75999999,167,124.0214264,330,343
1456764800,24.82999992,167,124.0102851,331,344
1456764800,24.88999987,167,123.9990601,332,345
1456764800,24.95000005,167,123.9877506,334,347
1456764800,25.00999999,167,123.9877506,335,348
1456764800,25.06999993,167,123.964874,336,349
1456764800,25.12999988,167,123.9533049,336,349
1456764800,25.19000006,167,123.9533049,338,351
1456764800,25.25,167,123.9299004,339,352
1456764800,25.30999994,167,123.9180628,340,353
1456764800,25.36999989,167,123.9180628,340,353
1456764800,25.43000007,167,123.8941118,341,354
1456764800,25.49000001,167,123.8819962,342,355
1456764801,25.54999995,167,123.8697858,343,356
1456764801,25.6099999,167,123.8697858,344,357
1456764801,25.67000008,167,123.8450759,346,359
1456764801,25.73000002,167,123.8325741,346,359
1456764801,25.78999996,167,123.819973,347,360
1456764801,25.8499999,167,123.8072712,349,362
1456764801,25.91000009,167,123.8072712,350,363
1456764801,25.97000003,167,123.781561,351,364
1456764801,26.02999997,167,123.76855,351,364
1456764801,26.08999991,167,123.7554335,353,366
1456764801,26.1500001,167,123.7554335,353,366
1456764801,26.21000004,167,123.7288786,355,368
1456764801,26.26999998,167,123.7288786,355,368
1456764801,26.32999992,167,123.7154376,357,370
1456764801,26.38999987,167,123.7018857,358,371
1456764801,26.45000005,167,123.6882216,358,371
1456764801,26.50999999,167,123.6605511,359,372
1456764802,26.56999993,167,123.6465418,361,374
1456764802,26.62999988,167,123.6465418,361,374
1456764802,26.69000006,167,123.6181678,362,375
1456764802,26.75,167,123.6181678,364,377
1456764802,26.80999994,167,123.6038001,365,378
1456764802,26.86999989,167,123.5746955,366,379
1456764802,26.93000007,167,123.5746955,366,379
1456764802,26.99000001,167,123.5450881,367,380
1456764802,27.04999995,167,123.5300918,369,382
1456764802,27.1099999,167,123.5300918,370,383
1456764802,27.17000008,167,123.5149647,371,384
1456764802,27.23000002,167,123.4997053,372,385
1456764802,27.28999996,167,123.4843118,373,386
1456764802,27.3499999,167,123.4531151,374,387
1456764802,27.41000009,167,123.4373084,375,388
1456764802,27.47000003,167,123.4373084,376,389
1456764803,27.52999997,167,123.4213603,377,390
1456764803,27.58999991,167,123.4052688,378,391
1456764803,27.6500001,167,123.389032,379,392
1456764803,27.71000004,167,123.389032,379,392
1456764803,27.76999998,167,123.3394303,381,394
1456764803,27.82999992,167,123.3394303,381,394
1456764803,27.88999987,167,123.3055989,382,395
1456764803,27.95000005,167,123.2884478,384,397
1456764803,28.00999999,167,123.2884478,385,398
1456764803,28.06999993,167,123.2711368,386,399
1456764803,28.12999988,167,123.2536637,386,399
1456764803,28.19000006,167,123.2182219,387,400
1456764803,28.25,167,123.2182219,389,402
1456764803,28.30999994,167,123.2002486,389,402
1456764803,28.36999989,167,123.1637848,391,404
1456764803,28.43000007,167,123.1637848,392,405
1456764803,28.49000001,167,123.1452894,392,405
1456764804,28.54999995,167,123.1077588,394,407
1456764804,28.6099999,167,123.1077588,394,407
1456764804,28.67000008,167,123.0887183,396,409
1456764804,28.73000002,167,123.0694908,397,410
1456764804,28.78999996,167,123.0500734,397,410
1456764804,28.8499999,167,123.0106578,399,412
1456764804,28.91000009,167,123.0106578,400,413
1456764804,28.97000003,167,122.9906538,401,414
1456764804,29.02999997,167,122.9704484,402,415
1456764804,29.08999991,167,122.9294208,403,416
1456764804,29.1500001,167,122.9294208,404,417
1456764804,29.21000004,167,122.8875498,405,418
1456764804,29.26999998,167,122.86629,406,419
1456764804,29.32999992,167,122.86629,407,420
1456764804,29.38999987,167,122.8448094,407,420
1456764804,29.45000005,167,122.8011719,409,422
1456764804,29.50999999,167,122.8011719,409,422
1456764805,29.56999993,167,122.779008,411,424
1456764805,29.62999988,167,122.7339714,412,425
1456764805,29.69000006,167,122.7339714,413,426
1456764805,29.75,167,122.6879643,414,427
1456764805,29.80999994,167,122.6879643,415,428
1456764805,29.86999989,167,122.6645869,416,429
1456764805,29.93000007,167,122.6170642,417,430
1456764805,29.99000001,167,122.6170642,417,430
1456764805,30.04999995,167,122.5684892,419,432
1456764805,30.1099999,167,122.5437961,420,433
1456764805,30.17000008,167,122.5437961,421,434
1456764805,30.23000002,167,122.5188265,422,435
1456764805,30.28999996,167,122.4935759,423,436
1456764805,30.3499999,167,122.442212,424,437
1456764805,30.41000009,167,122.442212,425,438
1456764805,30.47000003,167,122.416089,426,439
1456764806,30.52999997,167,122.3629351,427,440
1456764806,30.58999991,167,122.3358937,427,440
1456764806,30.6500001,167,122.3358937,428,441
1456764806,30.71000004,167,122.2808547,430,443
1456764806,30.76999998,167,122.2808547,430,443
1456764806,30.82999992,167,122.2528457,431,444
1456764806,30.88999987,167,122.2245027,433,446
1456764806,30.95000005,167,122.1958196,433,446
1456764806,31.00999999,167,122.1374084,435,448
1456764806,31.06999993,167,122.1076676,436,449
1456764806,31.12999988,167,122.1076676,437,450
1456764806,31.19000006,167,122.0775611,438,451
1456764806,31.25,167,122.0162242,439,452
1456764806,31.30999994,167,122.0162242,440,453
1456764806,31.36999989,167,121.9533415,441,454
1456764806,31.43000007,167,121.921302,442,455
1456764806,31.49000001,167,121.921302,443,456
1456764807,31.54999995,167,121.8888537,443,456
1456764807,31.6099999,167,121.8559887,445,458
1456764807,31.67000008,167,121.8226988,446,459
1456764807,31.73000002,167,121.7548114,446,459
1456764807,31.78999996,167,124.349933,446,461
1456764807,31.8499999,167,126.9535761,447,462
1456764807,31.91000009,167,126.9535761,448,463
1456764807,31.97000003,167,126.9529547,449,464
1456764807,32.02999997,167,126.9526378,450,465
1456764807,32.08999991,167,126.9526378,451,466
1456764807,32.1500001,167,126.9519908,451,466
1456764807,32.21000004,167,126.9516607,452,467
1456764807,32.26999998,167,126.9516607,453,468
1456764807,32.33999991,167,126.9509866,455,470
1456764807,32.4000001,167,126.9506425,456,471
1456764807,32.45000005,167,126.9502935,457,472
1456764807,32.50999999,167,126.9499395,458,473
1456764808,32.57999992,167,126.9495804,458,473
1456764808,32.63999987,167,126.9492162,460,475
1456764808,32.70000005,167,126.9488467,461,476
1456764808,32.75999999,167,126.9484717,462,477
1456764808,32.81999993,167,126.9484717,463,478
1456764808,32.87999988,167,126.947705,464,479
1456764808,32.94000006,167,126.9473131,464,479
1456764808,33,167,126.9473131,466,481
1456764808,33.05999994,167,126.9469152,467,482
1456764808,33.11999989,167,126.9461012,468,483
1456764808,33.18000007,167,126.9456847,469,484
1456764808,33.24000001,167,126.9452618,470,485
1456764808,33.29999995,167,126.9448322,471,486
1456764808,33.3599999,167,126.9443958,472,487
1456764808,33.42000008,167,126.9439525,473,488
1456764808,33.48000002,167,126.943502,474,489
1456764809,33.53999996,167,126.9430443,475,490
1456764809,33.5999999,167,126.942579,476,491
1456764809,33.66000009,167,126.9421061,477,492
1456764809,33.72000003,167,126.9416254,478,493
1456764809,33.77999997,167,126.9411365,479,494
1456764809,33.83999991,167,126.9406395,480,495
1456764809,33.9000001,167,126.9406395,481,496
1456764809,33.96000004,167,126.9396197,482,497
1456764809,34.01999998,167,126.9390966,483,498
1456764809,34.07999992,167,126.9385643,484,499
1456764809,34.13999987,167,126.9380227,485,500
1456764809,34.20000005,167,126.9374714,486,501
1456764809,34.25999999,167,126.9369102,487,502
1456764809,34.31999993,167,126.9363389,488,503
1456764809,34.37999988,167,126.9357571,489,504
1456764809,34.44000006,167,126.9351646,490,505
1456764809,34.5,167,126.934561,491,506
1456764810,34.55999994,167,126.9339461,492,507
1456764810,34.61999989,167,126.9339461,493,508
1456764810,34.68000007,167,126.932681,494,509
1456764810,34.74000001,167,126.9320301,494,509
1456764810,34.79999995,167,126.9320301,496,511
1456764810,34.8599999,167,126.9313664,497,512
1456764810,34.92000008,167,126.9299995,498,513
1456764810,34.98000002,167,126.9292955,499,514
1456764810,35.03999996,167,126.9285771,500,515
1456764810,35.0999999,167,126.927844,501,516
1456764810,35.16000009,167,126.9270956,502,517
1456764810,35.22000003,167,126.9263316,503,518
1456764810,35.27999997,167,126.9255514,504,519
1456764810,35.33999991,167,126.9247545,505,520
1456764810,35.4000001,167,126.9239404,506,521
1456764810,35.46000004,167,126.9231084,507,522
1456764811,35.51999998,167,126.9231084,508,523
1456764811,35.57999992,167,126.9213887,509,524
1456764811,35.63999987,167,126.9204996,510,525
1456764811,35.70000005,167,126.9195903,511,526
1456764811,35.75999999,167,126.9195903,512,527
1456764811,35.81999993,167,126.9177076,513,528
1456764811,35.87999988,167,126.9167329,514,529
1456764811,35.94000006,167,126.9157347,515,530
1456764811,36,167,126.9147124,516,531
1456764811,36.05999994,167,126.9147124,517,532
1456764811,36.11999989,167,126.9125914,518,533
1456764811,36.18000007,167,126.9114908,519,534
1456764811,36.24000001,167,126.9114908,520,535
1456764811,36.29999995,167,126.9092044,521,536
1456764811,36.3599999,167,126.9080164,522,537
1456764811,36.42000008,167,126.9080164,523,538
1456764811,36.48000002,167,126.9055444,524,539
1456764812,36.53999996,167,126.904258,525,540
1456764812,36.5999999,167,126.902936,526,541
1456764812,36.66000009,167,126.901577,527,542
1456764812,36.72000003,167,126.9001794,528,543
1456764812,36.77999997,167,126.8987415,528,543
1456764812,36.83999991,167,126.8972616,530,545
1456764812,36.9000001,167,126.8957378,531,546
1456764812,36.96000004,167,126.8941681,532,547
